"","COUNTY","alpha","gamma","Gini"
"938","Franklin County, Illinois",0.699622602563253,0.50408838034041,0.490504724097048
"939","Franklin County, Indiana",0.498754497885662,0.497928590333273,0.450384134696309
"940","Franklin County, Iowa",0.509078913773222,0.547111986500163,0.487665259785314
"941","Franklin County, Kansas",0.60992737712525,0.428032976063834,0.427145858885327
"942","Franklin County, Kentucky",0.646454404842294,0.467441188634502,0.458072604833907
"943","Franklin County, Maine",0.621243624813729,0.497501077879502,0.472779264873905
"944","Franklin County, Massachusetts",0.571227467720206,0.54293140828702,0.495386623160168
"945","Franklin County, Mississippi",0.815438961970764,0.50818727468085,0.511509408673716
"946","Franklin County, Missouri",0.489690450233557,0.542217772258109,0.48054962227866
"947","Franklin County, Nebraska",0.559558498536894,0.520326987658686,0.477299402327193
"948","Franklin County, New York",0.710816324925097,0.537362041708592,0.514238419027206
"949","Franklin County, North Carolina",0.723375515771672,0.45460774959803,0.464053328786946
"950","Franklin County, Ohio",0.642595036281221,0.58310362332855,0.536274340320613
"951","Franklin County, Pennsylvania",0.544904540314503,0.46704257198653,0.438630049243509
"952","Franklin County, Tennessee",0.665865615581225,0.504605053490166,0.485174516391542
"953","Franklin County, Texas",0.732768162695335,0.581219541221832,0.548050794766729
"954","Franklin County, Vermont",0.626403279651777,0.43906819149458,0.436964452486032
"955","Franklin County, Virginia",0.636018220616057,0.526065170398303,0.494483120446381
"956","Franklin County, Washington",0.478182789453013,0.536195300153849,0.473967142072743
"957","Franklin Parish, Louisiana",0.915923142645309,0.51080174304359,0.527891334833202
"958","Frederick County, Maryland",0.606979850550316,0.452464572043457,0.441411288373275
"959","Frederick County, Virginia",0.572281061444541,0.462627106192495,0.44111939704253
"960","Fredericksburg city, Virginia",0.773872158096441,0.548936311351243,0.531552440603641
"961","Freeborn County, Minnesota",0.538402198433205,0.536899299677136,0.485342191752581
"962","Freestone County, Texas",0.649158758174286,0.537001495164173,0.504172088962214
"963","Fremont County, Colorado",0.546558409452032,0.530835798918088,0.482420262940623
"964","Fremont County, Idaho",0.495239714611964,0.481473512696031,0.438398693049977
"965","Fremont County, Iowa",0.597708318963601,0.50463969047183,0.473345866905744
"966","Fremont County, Wyoming",0.568266333931267,0.534680000073757,0.488964197057873
"967","Fresno County, California",0.656710500132469,0.590742974661113,0.54409071407789
"968","Frio County, Texas",0.546297208333209,0.665345487958714,0.589564122742037
"969","Frontier County, Nebraska",0.618585270074834,0.428813707085782,0.429314359134511
"970","Fulton County, Arkansas",0.624099374619085,0.50870119694437,0.480710631581608
"971","Fulton County, Georgia",0.729449383599883,0.718986434788579,0.659222345424726
"972","Fulton County, Illinois",0.617711065765801,0.485242168932878,0.464147493986464
"973","Fulton County, Indiana",0.534002362787252,0.530250475372656,0.47976673291313
"974","Fulton County, Kentucky",0.928889971226026,0.553037899267451,0.555729608818207
"975","Fulton County, New York",0.660778493025253,0.505474511052987,0.484878916844606
